volunteer_id,college,major,major_group,rank,alignment_score,province,rationale,final_reason,strength_evidence_summary,score_total,tier,tag_labels
4602-037,海南大学(“双一流”建设高校),计算机科学与技术,cs,29025,84,海南,"Full CS plan has calculus/linear algebra/probability/discrete math plus networks, organization, OS, architecture, databases, compiler and algorithms; software/practice load exists but foundations are strong.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan has full CS core including discrete math, data structures, databases, networks, organization, architecture, OS, algorithms and compiler. College page confirms national first-class CS major, CS/software master platforms and ESI/soft-ranking signals; doctoral evidence is professional-degree enrollment, not a CS academic doctoral point.",,,Hainan_double_first_class_regional_flagship;electronic_information_professional_doctoral_training;engineering_accreditation_style_training;innovation_practice_and_course_designs;master_degree_platform;professional_doctoral_enrollment_in_cs_college;soft_science_world_discipline_listed;CS 系统/理论路径;OS/体系结构/算法;需自学 AI;211工程;ESI 计科前1%;博士点/博士平台;双一流;国家一流专业;计科硕士平台;软件工程硕士平台;软件就业训练负担
5032-004,重庆邮电大学,计算机类(智能技术类),cs,29529,72,重庆,"The computer-and-intelligent-science category plausibly contains CS/intelligent-science foundations, but large-category split and engineering/application burden require review.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official PDF confirms the computer-and-intelligent-science category and CS/intelligent-science training plans, while CDGDC confirms CS B+ in the fourth-round discipline evaluation. Doctoral/platform details are supported by a UCAS Chongqing joint-class news item and a credible招生 summary, so keep as medium rather than fully official.",,,Chongqing_information_industry_strong_school;UCAS_Chongqing_joint_elite_class_signal;computer_science_degree_platform;computer_science_doctoral_authorization_reported;cs_intelligent_science_category;doctoral_and_master_training_platform;industry_joint_labs_reported;industry_recognized_computing_school;national_or_ministry_platforms_reported;some_platform_evidence_not_from_primary_school_page;AI 理论路径;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;学科评估 B+;大类/方向风险;应用/就业导向重
3125-021,上海海事大学,计算机科学与技术,cs,29610,80,上海,"The official plan shows a solid CS foundation in data structures, networks, databases, digital logic, OS, architecture and algorithms, with AI/ML electives and only moderate software-practice load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official pages confirm Shanghai municipal first-class CS major, engineering education accreditation, CS first-level master point and ESI top 1% signal. Local plan shows digital logic, OS, architecture, networks, databases, algorithms and AI/ML electives.",,,Shanghai_maritime_transport_information_niche;computer_science_first_level_master;course_design_training;engineering_education_accreditation;enterprise_practice_courses;industry_application_orientation;maritime_information_application_niche;municipal_first_class_major;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;低偏离负担;ESI 计科前1%;计科硕士平台;软件工程硕士平台;软件就业训练负担
5103-014,成都理工大学(“双一流”建设高校),计算机科学与技术,cs,29925,79,四川,官方2025方案列出离散数学、数据结构算法、组成结构、OS、网络、数据库、数值计算和大模型实践，CS主干扎实但应用型培养明显。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official 2025 plan and招生 page confirm a CS first-level master point, provincial first-class CS major and strong CS core: discrete math, data structures/algorithms, OS, networks, databases, system structure, numerical methods and large-model practice. No CS doctoral point found.",,,Sichuan_double_first_class_university_with_IT_feature;complete_undergraduate_to_master_training_platform;computer_science_first_level_master;double_first_class_strength_is_school_level_not_cs;electronic_information_professional_master;engineering_practice_training;large_model_practice;school_double_first_class_geology_not_cs;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;双一流;省一流专业;应用/就业导向重;软件就业训练负担
5314-028,云南大学(“双一流”建设高校),统计学,math_stat_info,30047,88,云南,"Official statistics plan has a clean math/statistics core, strong probability-statistics platform, and little forced off-scope load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan confirms complete statistics bachelor-master-doctor-postdoc pipeline and clean probability/statistics curriculum; department page confirms national first-class statistics major, double-first-class key construction discipline and strong faculty/platforms.",,,Yunnan_statistics_flagship_platform;double_first_class_key_construction_discipline;double_first_class_relevant_discipline;full_bachelor_master_doctor_postdoc_statistics_pipeline;provincial_first_class_discipline;provincial_key_labs_and_innovation_team;statistics_first_level_doctoral;statistics_postdoctoral_station;strong_statistics_core;低偏离负担;数学主线干净;数学核心强;需自学 CS;需自学系统;211工程;升学信号;博士点/博士平台;双一流;国家一流专业;科研训练
2127-007,辽宁大学(“双一流”建设高校),数学与应用数学,math_stat_info,30546,70,辽宁,官方介绍称数学、计算机与经济结合并面向经济分析/决策，数学基础可用但经济管理应用负载风险明显且证据较弱。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official pages show the major relies on math, statistics and computing, with a math first-level master point and nearby statistics doctoral/postdoc platform. Evidence for a clean math-first undergraduate route is weaker because the intro emphasizes economic analysis, economic decision-making and data/economic applications.",,,Liaoning_double_first_class_school_level_signal;data_analysis_economic_application_orientation;limited_official_undergraduate_intro_only;math_first_level_master;math_master_platform;math_primary_path;no_math_doctoral_platform_found;statistics_doctoral_platform_nearby;statistics_doctoral_platform_not_math;statistics_provincial_key_discipline_not_direct_math;仅专业简介;数学主线干净;需自学 AI;需自学系统;211工程;双一流;金融/商业负担
0003-032,浙江工业大学(入选“2011计划”高校)(省重点建设高校),数学类,math_stat_info,30608,90,浙江,"Official math-college plan text shows a strong math core plus Python, numerical analysis, optimization, machine learning and data-structure/database electives, making the math category a strong keep despite split risk.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official 2024 math-college plan has strong math core plus Python, numerical analysis, optimization, machine learning and data-structure/database electives. College pages show active graduate/doctoral enrollment listings, strong modeling/research outcomes and high progression; exact math doctoral authorization wording should be retained as platform signal rather than overclaimed.",,,Hangzhou_industrial_applied_math_context;Zhejiang_provincial_key_university;data_science_institute_context;doctoral_enrollment_listings;graduate_progression_signal;math_college_master_doctor_students;math_modeling_research_training;math_related_doctoral_enrollment_signal;regional_priority_university;student_research_and_modeling_awards_signal;ML/DL 基础;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;省重点/省部共建;大类/方向风险
4602-020,海南大学(“双一流”建设高校),数学与应用数学,math_stat_info,30962,91,海南,"Full math training plan shows a clean math path augmented by stochastic process, data analysis, statistical learning and algorithm analysis/design, with little off-scope compulsory load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan shows a clean math path with data analysis, statistical learning and algorithm analysis/design. College and招生 pages confirm national first-class math major, math first-level master and 2024 math first-level doctoral point, forming a complete pipeline.",,,Hainan_math_and_statistics_flagship_platform;basic_discipline_math_top_talent_base;full_bachelor_master_doctor_training_pipeline;mathematics_first_level_doctoral;mathematics_first_level_master;ML/DL 基础;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;需自学系统;211工程;双一流;国家一流专业;国家一流本科专业;科研训练
3145-022,上海师范大学,数学与应用数学,math_stat_info,31234,84,上海,本地方案可见数学分析、高等代数、解析几何等核心数学训练，备注含数学金融AI实验班带来一定金融方向风险但主路径仍是数学。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official college pages confirm mathematics first-level doctoral point, math postdoctoral station and national first-class mathematics/applied mathematics major. Local plan evidence is mostly math-category/common curriculum and needs manual check for the exact Zhejiang admission route and whether any finance/AI experimental-class branch affects the student path.",,,Shanghai_math_teacher_and_applied_math_platform;computation_data_science_adjacent_path;evidence_weak_for_exact_major_plan;math_doctoral_and_postdoc_platform;math_primary_path;mathematics_first_level_doctoral;mathematics_postdoctoral_station;possible_finance_business_or_experimental_class_path;research_training_available_at_college_level;证据弱;数学主线干净;数学核心强;需自学 AI;需自学 CS;国家一流专业;国家一流本科专业;金融/商业负担
0003-025,浙江工业大学(入选“2011计划”高校)(省重点建设高校),人工智能,ai_intelligent_science,31279.30769230769,78,浙江,"The local official CS-college plan text shows reusable CS foundations such as discrete math, data structures, OS, networks, databases and AI/ML-related coursework, though the extracted text is college-wide and direction details are imperfect.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方培养方案页可核到计算机学院培养方案和离散数学、数据结构、操作系统、网络、数据库、人工智能导论等CS基础课程；学校层面有2011计划和省重点建设标签；但本次未核到人工智能专业独立的一流专业或学位平台硬标签,,,2011_plan_university;ai_related_coursework;cs_foundation_courses;cs_foundation_training_plan;exact_ai_major_strength_unclear;postgraduate_signal_scope_unclear;self_study_freedom_unclear;zhejiang_key_university;AI 理论路径;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;省重点/省部共建
0005-050,宁波大学(“双一流”建设高校)(省重点建设高校),计算机科学与技术,cs,31664,82,浙江,"CS intro includes discrete math, data structures, algorithms, computer organization/architecture, OS, networks, databases, AI and ML, with software-engineering load present but not dominant.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方招生专业页直接列明国家一流专业、国家级特色专业、工程教育认证、华为智能基座、计算机一级硕士点和移动计算与人机交互二级博士点；近三年升学率约31%,,,cs_first_level_master;engineering_education_accreditation;huawei_intelligent_base;mobile_computing_hci_doctoral_secondary;national_feature_major;provincial_first_class_discipline_A;small_class_tutor_system;student_competition_signal;three_year_progression_about_31pct;zhejiang_key_university;仅专业简介;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;博士点/博士平台;双一流;国家一流专业;省重点/省部共建;软件就业训练负担
3220-034,江苏大学,数据计算及应用,math_stat_info,31769,86,江苏,"Official intro lists math analysis, algebra, probability, numerical analysis, data structures, ML and statistics under a math doctoral discipline, making it a clean math-computation path.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,专业介绍称该专业为数学一级学科博士点覆盖专业；学院简介列明数学一级博士点、统计学一级硕士点、数学博士后流动站、江苏省A类重点学科、数学ESI全球前1%,,,graduate_training_platform_in_math_college;jiangsu_A_key_discipline;math_discipline_doctoral_covered_major;math_esi_top_1pct;math_first_level_doctoral;math_modeling_and_computing_signal;math_postdoctoral_station;provincial_A_key_discipline;research_institutes;softscience_math_rank_77_2024;statistics_first_level_master;仅专业简介;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;需自学系统;博士点/博士平台
3607-025,江西财经大学,应用统计学,math_stat_info,31949,74,江西,Teaching-plan page supports a statistics/math route with relatively low off-scope burden,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方2024级教学计划显示数学分析、高等代数、概率论、数理统计、时间序列、统计机器学习、概率图模型、强化学习、神经网络与深度学习和本科生科研训练；本次未核到对应学科博士点或一流专业硬标签,,,deep_learning_related_electives;degree_platform_not_verified;economics_public_opinion_survey_load;finance_statistics_school_reputation;full_official_training_plan;statistics_machine_learning;stats_math_core;undergraduate_research_training;undergraduate_research_training_required;低偏离负担;数学主线干净;数学核心强;需自学 CS;需自学系统;升学信号
0006-031,杭州电子科技大学(省重点建设高校),计算机科学与技术(中外合作办学),cs,32904,72,浙江,"The joint CS intro supports a real computing path, but it is intro-level evidence and the cooperative-program cost/language structure keeps it in review.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,杭电圣光机联合学院官方页称本专业依托杭电传统强势计算机专业和ITMO强势学科；列明国家特色、卓越工程师、华盛顿协议认证、计算机一级博士和硕士、浙江省一流学科A类及50%以上俄方教师英语授课,,,can_continue_master_doctor;cs_and_engineering_esi_signal;cs_first_level_doctoral;cs_first_level_master;excellent_engineer_pilot;foreign_curriculum_and_language_load;foreign_high_level_itmo_platform;foreign_teacher_english_courses;hdu_computing_reputation;industry_research_platforms;international_research_training;national_feature_major;software_employment_training_load;washington_accord_engineering_accreditation;仅专业简介;CS 系统/理论路径;OS/体系结构/算法;需自学 AI;省重点/省部共建;中外合作风险
3113-002,上海第二工业大学,计算机科学与技术(卓越工程师班),cs,33048,70,上海,Local DOCX exposes an intelligent-science plan with AI ML and core CS courses but is application-development oriented and appears mismatched to the CS卓越 row.,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方招生专业页匹配计算机科学与技术卓越工程师班并列明教育部卓越工程师、上海市一流本科、上海市应用型本科试点和上海市教育高地重点建设专业；核心课程含机器学习、大模型原理与工程实践、操作系统、网络、算法等；未见清晰研究生平台,,,ai_software_engineering_courses;excellent_engineer_major;machine_learning_and_llm_courses;no_clear_postgraduate_platform;previous_source_mismatch;shanghai_applied_undergraduate_pilot;shanghai_applied_undergraduate_reputation;shanghai_education_highland_key_major;shanghai_first_class_undergraduate_major;来源错配风险;AI 理论路径;ML/DL 基础;OS/体系结构/算法;应用/就业导向重;软件就业训练负担
4362-040,湘潭大学(“双一流”建设高校),计算机科学与技术,cs,33095,83,湖南,"Official CS plan gives a mature computer-science route with systems/network/database foundations, ML electives and strong research platform, with tolerable engineering load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方培养方案称1976年招收计算机方向本科生、1979年招收硕士；专业为国家特色专业、首批国家一流本科专业、通过工程教育认证，拥有博士、硕士、专业学位授权点和智能计算与信息处理教育部重点实验室,,,doctoral_authorization;education_ministry_key_lab;engineering_education_accreditation;frontier_lectures;innovation_training;key_laboratory;master_authorization;national_feature_major;professional_degree_authorization;software_development_direction_load;strong_cs_postgraduate_platform;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;博士点/博士平台;双一流;国家一流专业;科研训练;应用/就业导向重
0007-024,浙江工商大学(省重点建设高校),应用统计学,math_stat_info,34053,82,浙江,应用统计主要课程含数学分析、高代、概率数理统计、多元统计、时间序列、贝叶斯和机器学习，且有完整本硕博平台。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方专业介绍列明国家级一流专业、全国排名前1%、本科硕士博士博士后完整培养体系、统计学省一流学科A类和近50%继续深造率；课程含数学分析、高代、概率统计、多元统计、时间序列、贝叶斯和机器学习,,,business_economics_context;complete_bachelor_master_doctor_postdoc_system;complete_bachelor_master_doctor_postdoc_training;data_engineering_training;machine_learning_course;professional_rank_top_1pct;progression_rate_near_50pct;provincial_first_class_discipline_A;zhejiang_statistics_business_data_reputation;ML/DL 基础;数学+计算;数学核心强;需自学系统;升学信号;博士点/博士平台;国家一流专业;省重点/省部共建
1142-006,北京语言大学,计算机类,cs,34134,70,北京,"The official page shows a real CS discipline with NLP/data-mining/software directions and postgraduate platforms, but category risk includes digital media and software engineering.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方页列明计算机科学与技术一级硕士、软件工程专硕、自设语言智能与技术博士方向、第四轮学科评估C+、语言资源高精尖创新中心和本科继续深造超40%；但招生行是计算机类，存在软件工程和数字媒体等分流不确定性,,,cs_first_level_master;digital_media_possible;language_ai_niche_reputation;language_intelligence_doctoral_secondary;language_intelligence_specialty;language_resources_ai_center;language_resources_high_precision_center;master_training_platform;national_language_monitoring_center;niche_language_lock_in;nlp_data_mining_research;software_engineering_possible;software_engineering_professional_master;undergraduate_progression_over_40pct;仅专业简介;CS 系统/理论路径;升学信号;学科评估 C+;大类/方向风险;软件就业训练负担
0006-013,杭州电子科技大学(省重点建设高校),统计学,math_stat_info,34262,84,浙江,"Statistics has strong math/statistical modeling fit and some computing/data-science relevance, though the economics-college context and banking/insurance language add mild business-load risk.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方经济学院专业介绍显示统计学培养扎实数学基础、计算机编程能力和统计建模能力，课程含数理统计、数据挖掘、大数据技术、随机过程、多元统计、统计机器学习、Python数据分析等；未核到统计学一流专业或研究生学位平台硬标签,,,degree_platform_not_verified;hdu_electronic_information_reputation;math_stats_computing_course_path;statistical_modeling_and_python_coursework;zhejiang_key_university;低偏离负担;数学主线干净;数学核心强;需自学系统;省重点/省部共建;金融/商业负担
4305-050,长沙理工大学,计算机科学与技术(智能班),cs,35306,70,湖南,"Local page proves the official plan area but not enough course text; the CS intelligent-class label is plausible, yet evidence and possible application orientation keep it review.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official page proves the college training-plan index and CS plan titles but the available text does not prove degree platform evaluation research platform or intelligent-class substance.,,,cs_intelligent_class_unverified;not_found;official_training_plan_index;培养方案缺证;证据弱;CS 系统/理论路径;应用/就业导向重
4504-002,广西大学(“双一流”建设高校),数据计算及应用,math_stat_info,35866,91,广西,2025培养方案显示数学、计算科学、统计和数据科学融合，并有博士点/应用数学中心等科研平台，方向非常贴合数学优先路径。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official 2025 plan states the math major has national first-class undergraduate construction and regional five-star status relies on college master and doctoral platforms and lists applied-math/research-center/key-lab resources plus graduate-course and tutor-course options.,,,graduate_course_module_available;guangxi_applied_math_center;guangxi_math_research_center;guangxi_university_key_lab;innovation_practice;not_found;regional_five_star_major;research_training_in_plan;tutor_course;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;需自学系统;211工程;博士点/博士平台;双一流;国家一流本科专业;数学硕博平台;科研训练
3220-047,江苏大学,智能科学与技术,ai_intelligent_science,35892,70,江苏,"Official plan emphasizes intelligent algorithms and systems with research/development paths, but new-agriculture, engineering application and deployment language creates application-lock risk.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official AI college page states the major focuses on intelligent core algorithms and systems with computer vision and speech features and research/development destinations but no degree-platform or evaluation label was verified in the gathered evidence.,,,ai_algorithm_systems_focus;cv_speech_training_focus;deployment_language;new_agriculture_orientation;not_found;research_and_development_path_stated;self_study_freedom_unclear;AI 理论路径;ML/DL 基础;升学信号;科研训练;应用/就业导向重;行业方向偏离
0005-035,宁波大学(“双一流”建设高校)(省重点建设高校),数学与应用数学,math_stat_info,35915,88,浙江,"Ningbo math intro shows analysis, algebra, ODE, algebra, complex variables, probability, modeling and numerical analysis with strong升学 signal and little compulsory off-scope load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official 2026 admissions intro states the major is a first-batch national first-class undergraduate major with theory math data science and economic statistics modules and recent average further-study rate above 50 percent. This is broad升学 not 保研 or professional 推免 transparency.,,,broad_postgraduate_progression_over_50pct;broad升学_not_保研;not_found;仅专业简介;低偏离负担;数学主线干净;数学核心强;需自学 AI;需自学 CS;需自学系统;升学信号;双一流;国家一流本科专业;省重点/省部共建;浙江区域认可
3238-021,南京财经大学,计算机科学与技术,cs,36062,76,江苏,"The official plan includes data structures/algorithms, computer organization, networks, OS, databases and compilers plus AI/data electives; software/web practice exists but is not the whole curriculum.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official 2024 plan proves core CS curriculum including data structures algorithms computer organization networks operating systems databases compilers and AI-related practice but no hard platform label was verified from the gathered evidence.,,,ai_application_lab;business_finance_context;cs_core_curriculum_only;graduation_project;not_found;second_classroom_activity;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;应用/就业导向重;软件就业训练负担
5129-024,四川农业大学(“双一流”建设高校),信息与计算科学,math_stat_info,36215,79,四川,Local intro shows a clean math/computation lab and courses like analysis,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official college page proves an information and computing science lab with math/software tools research fields in applied math probability statistics numerical computation operations control and math-modeling training with listed awards and projects. It does not prove a relevant math doctoral platform.,,,agriculture_double_first_class_regional_signal;agriculture_university_context;degree_platform_not_verified;math_computation_lab;math_modeling_competition_training;math_modeling_training_base;math_research_fields;not_found;nsfc_youth_project;仅专业简介;低偏离负担;数值计算/科学计算;数学+计算;数学主线干净;数学核心强;需自学 AI;需自学系统;211工程;双一流
1404-016,山西大学(“双一流”建设高校),计算机科学与技术,cs,36978,87,山西,"Official CS plan shows doctoral/postdoc platform, strong computing foundations and AI/data platforms with only moderate engineering-employment burden.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official CS training plan states national first-class undergraduate major MOE特色专业 provincial key discipline CS first-level doctoral program postdoctoral station MOE key laboratory and multiple data intelligence AI research platforms.,,,advantage_climbing_key_discipline;ai_advanced_computing_practice;cs_first_level_doctoral_program;data_intelligence_ai_platforms;doctoral_and_postdoctoral_platform;moe_feature_major;moe_key_lab;not_found;postdoctoral_research_station;provincial_key_lab;provincial_top_discipline;shanxi_1331_key_discipline;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;博士点/博士平台;双一流;国家一流本科专业;科研训练
6143-001,西安邮电大学,计算机科学与技术,cs,37014,74,陕西,Official major intro indicates a conventional CS path and platform strength,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official admissions intro states the CS major is an MOE excellent-engineer pilot Shaanxi first-class brand and feature major and has passed engineering education accreditation. It lists further-study directions and named destination schools but no doctoral platform or 推免 transparency was verified.,,,broad_further_study_paths_stated;communication_hardware_embedded_orientation;engineering_education_accreditation;excellent_engineer_pilot;not_found;provincial_brand_feature_major;telecom_information_industry_regional_signal;仅专业简介;证据弱;CS 系统/理论路径;低偏离负担;需自学 AI;升学信号;省一流专业
2303-013,东北林业大学(“双一流”建设高校),信息与计算科学,math_stat_info,37751.0625,86,黑龙江,Rescued official admissions text describes a computation-math lineage with systematic math and numerical-method courses plus computer/algorithm/data-processing study and postgraduate routes.,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official college page states mathematics first-level master and applied statistics professional master plus math application innovation center and high postgraduate-exam rate; row-specific page is a cooperation-project plan meeting rather than a full curriculum.,,,applied_statistics_prof_master;math_application_and_innovation_center;math_application_innovation_center;math_contest_training;math_master_platform;mathematical_modeling_training;mathematics_first_level_master;nefu_science_college_math_teaching_base;possible_sino_foreign_cooperation_project;postgraduate_exam_rate_high_claim;培养方案缺证;来源错配风险;低偏离负担;数值计算/科学计算;数学+计算;需自学 AI;需自学系统;211工程;升学信号;双一流
3125-026,上海海事大学,数学类,math_stat_info,38402,88,上海,"Official plan has a deep math spine including analysis, algebra, ODE, probability/statistics, real/complex analysis, numerical analysis, optimization, modeling and algorithms/data structures.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official plan shows deep math and computing courses; graduate page describes math master directions including scientific computing and smart algorithms but the degree platform appears as second-level master and the row is a category.,,,algebra_number_theory;analysis_equations;graph_optimization;large_category_split_risk;math_master_platform;mathematics_second_level_master_platform;official_full_training_plan;scientific_computing;scientific_computing_and_optimization_courses;shanghai_maritime_university_context;smart_algorithms_data_science;低偏离负担;数值计算/科学计算;数学+计算;数学主线干净;数学核心强;需自学 AI;需自学系统
6301-018,青海大学(“双一流”建设高校),计算机科学与技术(绿色算力创新班),cs,38834,74,青海,"CS evidence is usable for foundations, but the green-computing innovation label adds direction risk toward energy/infrastructure application rather than clean theory/systems.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official CS plan is available and university news supports green-compute innovation class with Tsinghua support and provincial platforms; postgraduate-platform evidence is indirect from college teaching pages rather than a clear degree authorization page.,,,application_project_heavy;computer_related_master_training_visible_indirect;green_compute_energy_infrastructure_lockin;green_compute_engineering_center;green_compute_innovation_class;master_student_training_visible_indirect;mentor_pairing_project_driven;official_cs_training_plan;project_based_training;provincial_smart_computing_lab;provincial_smart_computing_platform;qinghai_green_compute_policy_platform;research_path_indirect;tsinghua_counterpart_support;CS 系统/理论路径;OS/体系结构/算法;211工程;升学信号;双一流;大类/方向风险
3220-035,江苏大学,数学与应用数学,math_stat_info,38864.73333333333,78,江苏,"Official department evidence shows a long-running math program and frontier math faculty, but no course list was available so this is a high review rather than keep.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,Official college page states math first-level master and doctoral authorization plus postdoc station and national first-class major; department page confirms doctoral and master supervisors and frontier math directions.,,,doctoral_supervisors_and_master_supervisors;frontier_math_faculty;jiangsu_A_class_key_discipline;jiangsu_brand_major;math_esi_top_1_percent;math_postdoc_station;mathematics_first_level_doctoral;mathematics_first_level_master;mathematics_postdoc_station;multi_discipline_training_model;national_first_class_undergrad_major;soft_rank_math_77;仅专业简介;培养方案缺证;低偏离负担;数学主线干净;数学核心强;需自学 AI;需自学 CS;需自学系统
